name,ticker,confidence,note
로켓 컴퍼니스,RKT,high,
루멘텀 홀딩스,LITE,high,
마벨 테크놀로지 그룹,MRVL,high,
마이크로소프트,MSFT,high,
마이크론 테크놀로지,MU,high,
메타,META,high,
바이킹 홀딩스,VIK,high,
발레로 에너지,VLO,high,
버티브 홀딩스,VRT,high,
벤처 글로벌,VG,high,
브로드컴,AVGO,high,
블룸 에너지,BE,high,
비트코인 전략 2배 ETF,BITX,medium,ProShares 2x Bitcoin Strategy ETF 추정
사우스웨스트 에어라인스,LUV,high,
삼성전자,KRX:005930,high,미장 계좌에서 발생한 코스피 매매(원화) — 국장 종목과 동일 취급
샌디스크,SNDK,high,
샤오펑 ADR,XPEV,high,
센트러스 에너지,LEU,high,
스페이스X,SPCX,medium,"SpaceX 2026년 나스닥 상장 후 티커 — 웹검색 확인, 사용자 컨펌 대기(비상장 시절 거래였는지 재확인 필요)"
스포티파이 테크놀러지,SPOT,high,
아마존닷컴,AMZN,high,
아이렌,IREN,high,
아이셰어즈 0-3개월 미국 국채 ETF,SGOV,high,
아이셰어즈 1-3년 미국 국채 ETF,SHY,high,
아이셰어즈 20+년 미국 국채 ETF,TLT,high,
아이셰어즈 7-10년 미국 국채 ETF,IEF,high,
아처 에비에이션,ACHR,high,
알리바바 그룹 홀딩 ADR,BABA,high,
알몬티 인더스트리스,AII,medium,
알파벳 Class A,GOOGL,high,
암 홀딩스 ADR,ARM,high,
앱러빈,APP,high,
어플라이드 옵토일렉트로닉스,AAOI,high,
에머슨 일렉트릭,EMR,high,
엔비디아,NVDA,high,
오라클,ORCL,high,
오클로,OKLO,high,
온 홀딩,ONON,high,
웨스턴 디지털,WDC,high,
이튼,ETN,high,
인텔,INTC,high,
일라이 릴리,LLY,high,
코히런트,COHR,high,
크레도 테크놀로지 그룹 홀딩,CRDO,high,
클라우드플레어,NET,high,
테라다인,TER,high,
테슬라,TSLA,high,
템퍼스 AI,TEM,high,
티렉스 로빈후드 타겟 2배 ETF,HOOX,medium,
팔란티어 테크놀로지스,PLTR,high,
퍼스트 머제스틱 실버,AG,high,
허드베이 미네랄,HBM,high,
헌팅턴 잉걸스 인더스트리즈,HII,high,
